Population,Day,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9
HSC1,28,14563,14469,13789,27989,12455,7663,6988,18990,32304
HSC1,56,46231,15615,17087,71775,23316,24872,68996,68703,86983
HSC1,84,224970,10706,386850,205340,106700,25642,83483,225575,444216
HSC1,112,371118,288886,719648,647836,524304,530518,594035,622951,891349
HSC2,28,6194,3826,1870,11551,4028,2532,1006,4906,8639
HSC2,56,22577,1919,8357,11980,9780,6650,16329,7658,19980
HSC2,84,183044,7726,126206,49937,64997,8278,46285,91640,94758
HSC2,112,421113,123082,255982,150438,610256,363186,459205,443130,313509
MPP,28,13181,5963,5789,18705,6326,3579,1419,8741,7932
MPP,56,65800,5033,19935,33086,14475,10895,16969,14438,23402
MPP,84,187134,10958,146784,56442,68378,9086,46001,114902,94758
MPP,112,292280,106806,367069,158453,408270,332762,367364,421723,241791
CMP,28,21977,14821,18043,31573,27240,27050,27438,74251,65516
CMP,56,139150,27948,73021,157186,113632,101988,160287,177261,122543
CMP,84,196319,15332,220555,82026,311400,142032,471596,483340,276466
CMP,112,302015,357895,336919,306882,712893,524111,851057,926868,551318
GMP,28,40648,37565,54923,57979,77200,46010,48125,155119,101302
GMP,56,171891,67780,153108,307274,30778,111794,127776,211639,55458
GMP,84,278311,36730,628686,111706,295200,127829,206794,408501,350741
GMP,112,567617,331628,253934,324534,582738,320792,380812,374947,182568
MEP,28,3987,2226,3558,7750,9040,7635,7813,16982,16627
MEP,56,25746,4533,10458,31640,39508,40730,58974,70045,44461
MEP,84,41458,4776,62044,25633,172980,74614,236905,308402,138646
MEP,112,58904,72892,64230,72783,237532,193379,317343,308956,152019
EP CD71+,28,90265,306278,13793,24889,35545,62597,25397,96413,29563
EP CD71+,56,42925,32457,15256,76854,123322,37262,45103,265421,43256
EP CD71+,84,256285,9481,363323,367213,227149,113362,549203,373597,341766
EP CD71+,112,1319574,2254313,3123256,1132340,677489,804846,971240,1467945,1181078
EP CD71-,28,68142,190583,32036,54667,34123,31077,30385,40359,38522
EP CD71-,56,63679,64000,49583,73258,59158,25140,54214,76636,39368
EP CD71-,84,125473,68623,115642,124153,84163,45259,146227,177778,89260
EP CD71-,112,299149,489883,640465,145532,441126,422467,425027,470714,211221
MLP,28,13181,5963,5789,18705,10280,4189,3014,21853,18712
MLP,56,65800,5033,19935,33086,602,4929,4226,6530,2495
MLP,84,187134,10958,146784,56442,13976,1057,10762,28902,169336
MLP,112,292280,106806,367069,158453,53935,111618,17000,32111,21515
