nb,run,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
1,1,0.0044383710207903755,0.413144727494053,0.007511097833805509,0.08410161507439133,4.7536389786696125,0.01950220735788303,2.184518403512443,0.049758760109388095,6.349338267055009,0.4237244779512703,3.84983303218573,0.40097951590660036,0.005661071748351563,0.09337133499429395,0.09240179928241346,0.33501855060657443,1.6102030640422056,0.018626895327414114,0.08381183365489912
2,1,0.028998305336175464,0.429636636782955,6.266947072761264e-5,0.016127048817968895,4.741770402583877,0.03015741207506842,2.192564713998145,0.03476825054316528,6.420980756234124,0.4223225342009512,3.9131374237550425,0.3870841170188862,0.0065942237474196155,0.148830769634349,0.06620824140232714,0.3177479857734983,1.540029249890236,0.010010993878785466,0.06983266401592753
3,1,0.004753755195156921,0.49161593369900963,0.0261264166456785,0.01430103953019802,4.792770072888834,0.038514752354164704,2.1958309800465017,0.01225653984763435,6.440157017594823,0.5024100382298484,3.9245527586301825,0.43280207146935656,0.00234782609726788,0.15559113037823788,0.10519922164051512,0.41442814936964756,1.5576164180352916,0.004556242680205598,0.09412580970275486
4,1,0.025290259832957344,0.40949009026076544,0.031955241062083195,0.03310943013608721,4.776894659253916,0.027062108022236537,2.1597442449865736,0.012506123577129956,6.462416932072521,0.5176223056693199,3.9417294581393025,0.4431628587716121,0.003692403182873261,0.1478017837387651,0.08667021969832804,0.3361736881464956,1.591618171341416,0.004353209342847495,0.07587531451250797
5,1,0.0316565555035847,0.36809835886850656,0.008428178873399257,0.11770937484406079,4.764652290095688,0.029211243423886923,2.0775497138625356,0.06575803905498133,6.39766605927697,0.5881543044129584,3.8509832306394234,0.4850161671433583,0.0009396892669785772,0.09427562847184799,0.11085628415139606,0.38354873161871494,1.593241979338747,0.022710540560042538,0.014125738205076543
6,1,0.03838757192348727,0.41463330247975283,0.025211545339470415,0.20756772850846905,4.802305316233695,0.045287834401832275,2.06738634297079,0.0557340933241489,6.416026428719946,0.5907266958313012,3.8340898068898674,0.4225314973832195,0.0046815849716911025,0.05409247494587268,0.1981975526988638,0.34841356290846137,1.6092603456313626,0.004508720298909556,0.01165925805927122
7,1,0.036008928946192786,0.40956485523601693,0.01996654419118667,0.22106691369219128,4.839147048826953,0.02145553566052628,2.032760240657737,0.059528910649552055,6.370494699854949,0.6277899258870538,3.95169492221817,0.4646670194317338,0.0022479082200947,0.09399890982145019,0.1268014176056717,0.3881919976343767,1.6212009129970206,0.026222137145400316,0.0027293251316522324
8,1,0.002573559889019887,0.36254208711852215,0.028980543383475006,0.21121714451189674,4.778368028354408,0.04659956648128404,2.032912323124697,0.05942397122006157,6.317492647265132,0.6837950997022011,3.9493988243238185,0.48641146383212946,0.007925264081210954,0.1897392779643082,0.1264022238735145,0.42113047605171094,1.7037708474780997,0.03334994695138008,0.021508991413624164
9,1,0.04271051703253748,0.3865719668818091,0.012748986317487308,0.240202161730693,4.7840545327183115,0.03551594912492537,1.9574594716536375,0.0644798252129501,6.293833638977738,0.7078249595658642,3.9485152021967096,0.5018794741671034,0.005739718537417538,0.13890177800661307,0.17169052835008697,0.3735047666331576,1.7657766880838839,0.007527992201670368,0.002397039363546853
10,1,0.02767056012126352,0.33673144472658983,0.02871973046672051,0.25045933315224805,4.756699179128201,0.034588641846497285,2.00345227158565,0.041770217575566475,6.392778388697707,0.6554832773588802,3.992073063477937,0.52981103540743,0.005528082653348632,0.10383343686979281,0.15089298359968736,0.34100144049127035,1.7876400728242632,0.004548600288545512,0.06549160980704462
11,1,0.01894037167036339,0.4504203922899579,0.01834872385817885,0.15891062867595654,4.871550194922299,0.025638630863635055,2.047494002522965,0.0197140530029009,6.350723437605475,0.6556240249596484,4.030261681452378,0.434221238652166,0.00841492893228492,0.13389298055753013,0.12476195963688737,0.275082409472444,1.8090548559844881,0.018324531294382773,0.03218051568888742
12,1,0.023887938291123123,0.48627382595534097,0.003922257011735251,0.15249424997384042,4.858083447186323,0.03724642157294387,2.119290386603901,0.06450304230484477,6.334839338729362,0.6571609426690429,4.065796663542686,0.34493414023202346,0.005736140007608823,0.15763454753149223,0.16216527129071015,0.26072220128263923,1.8435304437447366,0.03167838446840093,0.015829210489962234
13,1,0.026220150011463956,0.4634075634205035,0.007330541089085599,0.16069300293478675,4.896565073130544,0.02534366900572425,2.1038037925998263,0.06323609759297463,6.357063123751457,0.6459449625001951,4.06697899448313,0.2269915587608615,0.0037153964977045015,0.15378197699722465,0.19188347832927524,0.18066279947228495,1.803819672712742,0.021955825251686264,0.017168539566410703
14,1,0.006841714029826015,0.3645816510712542,0.001973017244512659,0.10548556428782038,4.937864418536246,0.05321542766398407,2.178368022175186,0.05808428420048888,6.284166808301577,0.6342224759477629,4.073799811011367,0.20428721760585053,0.004925626746157132,0.18780849911887454,0.19035981431596577,0.12661316471921685,1.807653748537993,0.016282455662795788,0.08913817704542304
15,1,0.0016944475523781835,0.3393032901237263,0.010245183900690047,0.17281218393109776,4.90650045600456,0.03312465606459421,2.18548733694392,0.01590933477593916,6.357011593569447,0.5358986924586854,4.043202181137278,0.18430032978371516,0.00977373114931201,0.1297679913950065,0.09993041911679136,0.15137803237773848,1.8312424908752227,0.029409035735389367,0.059878199064834645
16,1,0.00912160806158092,0.4025758419885161,0.03414728082475301,0.1689344880258794,4.889679990289824,0.03294384076366114,2.1813527732699463,0.014754135827519027,6.3838558666865035,0.6146231140738794,4.023032046298226,0.13649729934179125,0.0019931713559466807,0.08187509212591489,0.15223255174021974,0.16090896760391324,1.8219788926266882,0.01704987450952698,0.03425703766114051
17,1,0.018941657415418478,0.4291576316483604,0.008032776719961702,0.152739590574107,4.878472889902974,0.016216142503574348,2.08901505277711,0.05710106926139625,6.369924558065929,0.6167792149040445,3.948819950036909,0.12062507754560785,0.009488760606565469,0.05869223081363688,0.18470363106358711,0.1261142498004528,1.8334090216022443,0.019410042214897047,0.05094202709074669
18,1,0.014172576716923577,0.3873314623433801,0.013176393884812052,0.16927610359522505,4.848362631403977,0.027303069212275894,2.1722978359010297,0.017148569747206348,6.260971048753698,0.6838459628411109,3.953142579453145,0.10376355332011418,0.006200705908582584,0.14814732431160532,0.15612049986151183,0.061469979604283354,1.7803875131371796,0.013113475784934882,0.0655424875827578
