Population,Day,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9
HSC1,28,2176,3988,8079,1663,2635,1279,6039,7938,1775
HSC1,56,231,1099,1414,303,3960,4774,615,3447,3537
HSC1,84,3358,4716,652,6995,1674,3008,9694,2432,4888
HSC1,112,1746,9991,1029,5595,16124,7385,6162,13777,15595
HSC2,28,1647,3059,7890,1908,4147,2029,5550,4982,1041
HSC2,56,1079,2748,5207,1818,9441,7976,3251,6536,3601
HSC2,84,7338,6626,1116,15369,6694,7761,14870,16523,8720
HSC2,112,5245,16298,2806,18298,22271,17338,24846,72689,37801
MPP,28,2025,5153,13011,2427,6921,3288,7944,6278,1514
MPP,56,2227,9986,17115,7116,29495,11394,4102,11828,3411
MPP,84,8870,11773,1801,19557,10370,8516,18635,18571,10678
MPP,112,8337,23525,5145,35221,34837,13870,27682,68744,55772
CMP,28,6552,9493,8961,13550,19319,42603,36818,14489,30657
CMP,56,11451,68596,35302,11340,52617,42248,24245,53055,19506
CMP,84,22978,29647,13593,29432,11896,49814,38207,60471,89884
CMP,112,37587,51679,25337,86760,73416,117086,48625,235236,72827
GMP,28,59675,90757,102951,169471,125086,110027,102654,122691,160382
GMP,56,92986,262379,288394,44288,503576,217528,318109,202616,224858
GMP,84,130005,270164,149665,350379,125667,220523,136087,319089,470681
GMP,112,380238,504698,243149,356469,367761,430088,120818,762163,286912
MEP,28,2412,3868,5261,5344,9643,7965,5679,4441,9360
MEP,56,1507,14291,6192,2598,9036,11505,7967,16603,5059
MEP,84,4030,9974,5135,5343,6535,19014,16442,34735,47068
MEP,112,7180,8788,3474,16723,15023,30605,16169,89390,24862
EP CD71+,28,32458,45480,30173,95906,75582,74923,148614,22343,71783
EP CD71+,56,2486,49995,35330,3097,77290,9843,18964,153868,4018
EP CD71+,84,23443,50379,1540,51045,1576,56966,46021,23314,84854
EP CD71+,112,29924,20677,385,50814,249538,3590,8141,27924,428140
EP CD71-,28,45606,69844,50691,63807,57394,59598,57637,55269,57978
EP CD71-,56,41843,89756,87883,91742,71853,34450,32756,88680,24108
EP CD71-,84,46885,87969,56588,81597,65817,42284,60771,47242,79796
EP CD71-,112,78688,60471,45759,61593,137171,141809,71641,160562,305022
MLP,28,30459,36741,70734,47666,38490,10642,23668,11097,21545
MLP,56,11723,14835,30595,8483,49700,21934,22187,15372,17241
MLP,84,22332,30004,8246,173058,27435,37567,32187,19563,25508
MLP,112,46746,63632,16736,25279,124417,67938,23476,85367,58663
