nb,run,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
1,1,0.007956507001870798,0.39468998060373695,5.34923238128686,0.08927790570661834,1.4330938759462715,0.022614146548990577,4.574266720268047,1.0747993703055838,5.051353618574164,0.2317197150894864,0.017282203146624053,0.1515879730213797,0.0005247318854436064,0.17943973084386872,0.6972900067881125
2,1,0.0048137379557978855,0.37935960096867327,5.361155613541131,0.07203232593201922,1.4572138615931256,0.08053283110857211,4.600332096180571,1.1067032111632822,5.091560126174443,0.2273979292356575,0.01096490523192518,0.008545299910536128,0.020378971829432053,0.1276828737141323,0.6752833309369565
3,1,0.01431902321833355,0.3800146360392089,5.337869999153241,0.10588195119646215,1.3697735155121216,0.08992279940501652,4.585327429870627,1.1532274526316904,5.023368521334508,0.2387868556996788,0.0021938142362488227,0.09655924282166899,0.05651398505700083,0.10156111017718401,0.7127613162219661
4,1,0.020082595953570686,0.26292819198969547,5.296517221100534,0.09637560744632738,1.2922047204048592,0.09394964430274426,4.579644765754019,1.1054040160284986,5.044103494195426,0.20858401259342138,0.010844461317394997,0.12380825900841037,0.05552798402580524,0.10098775211509849,0.725787971259529
5,1,0.011990423910591689,0.1969609014053406,5.213356027156653,0.13317656776952222,1.3488031633873225,0.06513759959327121,4.510521265813086,1.1231939730481495,5.0437809549378,0.15860337088411514,0.029643892185967035,0.17409177887205932,0.021351399718283568,0.11775198507244691,0.5674934061394507
6,1,0.012222595081479628,0.1153343377870824,5.163374726540835,0.13829034312095465,1.345327025760112,0.09959817799628652,4.51049703904007,1.2302230710369162,5.076629888934375,0.10020900566848989,0.001916771625749867,0.16469859447140328,0.01365616203019343,0.09959493400638626,0.55455054043354
7,1,0.012044309768618275,0.10206207042580233,5.1626338914569905,0.08745504487466643,1.3906252430737354,0.0774976265469193,4.585573792604907,1.1588426954374993,5.120223886496534,0.11686481720982644,0.010479397356671527,0.17809017906202074,0.03269688640760529,0.08613020069747979,0.6045393520411383
8,1,0.0018809876632386068,0.13916817802462567,5.212952945256178,0.11200454334917771,1.4046852529270997,0.0557703957006565,4.625702516282175,1.1381519660956845,5.142952263245393,0.15118446332807287,0.0171320828168804,0.13770256672984774,0.02461744909839086,0.08274437820098667,0.7147431604276554
9,1,0.002808918861037908,0.1895483282979105,5.221716686141041,0.08685141015010124,1.3741963920602132,0.044269071326892624,4.615414113552413,1.1519332116972518,5.146346201773754,0.2353984981917415,0.016806992153354582,0.18634527619310493,0.019766545696663314,0.12151198682454506,0.6355569777104665
10,1,0.019579978477342695,0.19551084014220305,5.256786237158698,0.09156093283883451,1.3735290632891988,0.09443104053461317,4.6247087051858715,1.123252160649374,5.104620073302847,0.21613542916773498,0.019058950053840958,0.216224984849429,0.012355162238304388,0.16454923438682673,0.6437460478173296
11,1,0.006433543146614332,0.2074058145521479,5.336991595619048,0.07899873445663955,1.4370771980167911,0.075379130385122,4.6145193158440465,1.0881528929384416,5.202783163939556,0.2092758782228267,0.0003045074552610303,0.1366004635009809,0.0043323477384830155,0.21587290978445245,0.6223689011506051
12,1,0.004988727294218482,0.17173070119152165,5.352542194690807,0.1307044411157675,1.378038856888659,0.04073632525966364,4.702407161350523,1.0621642111238543,5.204003399868533,0.15870968737618435,0.024084611341857062,0.13395864380557299,0.008117198607294153,0.17374439381699303,0.6348091602270565
13,1,0.003510605730675216,0.22047705043532323,5.298110765359173,0.12247730633736113,1.3300588067319874,0.048323491044137884,4.645528214028536,1.062551434426424,5.1751300255881265,0.17572946020075436,0.008757716168979834,0.12762122279134905,0.007552929248406012,0.1455850246827816,0.6647344478693522
14,1,0.004065532265095774,0.30041781715334814,5.370666052661461,0.13443429024017922,1.295809912294017,0.09389711324398095,4.654157942059202,1.0778548496904752,5.197935437725764,0.031485859885110705,0.01870666215518632,0.043545059833599555,0.04641759766175857,0.09801550030313878,0.7157224672633095
15,1,0.010600846370622807,0.27978241215898003,5.35801435862101,0.08812586332048933,1.3368280475170973,0.09665727376910882,4.568222679043548,1.0283646827261126,5.203078762318086,0.06101719758962169,0.0019628659762819375,0.05801442627809973,0.06487895211790497,0.11168878419561343,0.6947869595895788
16,1,0.004584239543197487,0.3002118795810254,5.3372215801035,0.13639452575146965,1.3540282971286042,0.09246228094227257,4.537088358685135,1.071349892595022,5.152327381159942,0.016894118028542987,0.0043562935062087735,0.034934315448742266,0.017979556250171676,0.0734435742514979,0.7104687457603291
17,1,0.004594006661267886,0.21377652473867975,5.418668066934626,0.048195534725690485,1.4167942200553203,0.08757251521165708,4.49694566537234,1.1007724739684706,5.2165082901356135,0.00452572082579636,0.006088072170964084,0.01371022514031718,0.015067248457052412,0.02695561191511251,0.7682009162533114
18,1,0.010798588717390296,0.20882577168143787,5.479183610553548,0.06877082366213445,1.4394052270644286,0.049595132504707796,4.480995320135442,1.0781198221508341,5.280851301510171,0.06131308204273903,0.005722534790331001,0.1174231863611475,0.03329970148658817,0.07137634513370371,0.7949088333855198
19,1,0.018322044390632522,0.13379002065550166,5.471930800575029,0.1191191169992986,1.505880558323308,0.06853706282004862,4.448532660335448,1.0927376238971926,5.344493564343424,0.17208685537148302,0.02453022261649906,0.08292293403900822,0.00656130263787488,0.0942187363508751,0.7689053639340114
20,1,0.008271683052724361,0.14804025588594166,5.376347273685762,0.09340304069595508,1.549301805955816,0.08765672810381515,4.440240783731504,0.9936910257251631,5.3622347028812785,0.22125671414793782,0.023127678131833182,0.1623064874507141,0.04958297640368696,0.07639602324596095,0.8405879693935858
21,1,0.013798071176127623,0.11955197132777566,5.334589896038878,0.08017146119841881,1.5674772745493601,0.0976495723477407,4.417106304560215,0.9844482920421241,5.338594625168728,0.17439513662997977,0.012280133953072751,0.15182341131886223,0.059985787354250565,0.09788903086671645,0.8777535629654422
22,1,0.013242387255319982,0.11052340152872814,5.404033374110047,0.07648155616584455,1.5963057711183468,0.08888160670369934,4.410706420756687,0.9525224982735192,5.402947330614509,0.14996825546039552,0.012346350800027633,0.131109504533596,0.03763530397295678,0.12004747466699732,0.8484063117398356
23,1,0.008714690454773357,0.05929284717965849,5.351593426503288,0.07123602515379653,1.5901723887387746,0.06944259649467482,4.420185764348896,1.0191144383950386,5.379464071798424,0.17747802293658174,0.015419023369123683,0.138216619914125,0.06716051093752975,0.12447696650343004,0.8384104202924373
24,1,0.009282853547969776,0.1397504505942941,5.400896912223643,0.16940453019974938,1.5023250399466526,0.09463875182459668,4.4289851648528495,1.0245588262483079,5.392744812199326,0.15049869018360207,0.008612717353268635,0.08106631759438238,0.04155237245213221,0.1234573128166938,0.8522817060382055
25,1,0.007890806271422256,0.13864859247900194,5.37449948386362,0.1706945951745427,1.4092604667463933,0.07994881656683117,4.365707786204598,1.0035292445137405,5.377817023608535,0.11727405655567408,0.021957729950322375,0.1045734408761221,0.09995918957505,0.19730666584027373,0.8068322915971413
26,1,0.0023004707886270957,0.14213214701312857,5.412312099413503,0.18164211885818693,1.470029094536285,0.07481316936142353,4.384819704901977,1.02801224227855,5.363536464071823,0.20363498496361307,0.011268748428382493,0.11168063979276774,0.043921947148019065,0.19599565722078038,0.7154264150649571
27,1,0.010338115040170844,0.2173546982591874,5.466310212863267,0.09280014568849458,1.4767561933492026,0.04733830573158245,4.389871054386366,0.9928122381954674,5.3246708726105725,0.18769197674863441,0.01441378480169282,0.000983208035167859,0.027504243511887357,0.19886509368075211,0.7064014834424683
28,1,0.008973172616018698,0.29522854405268734,5.499106952745052,0.11480930596423274,1.4548244718201893,0.028819210040125783,4.403200162837508,1.0111775812016588,5.27775027810985,0.21158676123730166,0.009207677828690874,0.035333771587333196,0.011353804961801437,0.24285820768764163,0.6861116034520329
29,1,0.013010123448195937,0.31958259933681943,5.581309784183249,0.16351549965430126,1.422421679242273,0.06187112410927178,4.317371905173838,1.1524600814370443,5.339830393227389,0.23242891100985671,0.044561603825263106,0.011699237362060811,0.023622719578605754,0.23665347477845622,0.6280895505717982
