run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
1,WT,289.23129990006373,0.015770576171040118,0.37137852685272843,3.0781571648932577,2.3530567086536576,1.5319281174279145,0.09054491990187559,5.777261393409766,1.2203175146379408,1.4410614775979473,4.278153242968743,0.8908900422282717,0.09336079879053388,0.5927543488288203,0.0360044449476779,0.5875994583350242,0.6888316331467859
2,WT,267.6799188363938,0.017619741291606098,0.47629114658987004,3.8028292071935286,0.6016823102806962,1.9574804943324398,0.05738318107521016,4.349789501734004,1.586372517608697,2.3598645850045386,5.830331707556773,0.07588871201011124,0.6901980178632445,0.7479775252150419,0.02500657462815474,0.8514061506962014,1.3956237332474437
3,WT,326.7682186806783,0.017393776112185132,0.49842487429442306,3.6201281269138232,0.2305026759906308,0.7085203307803623,0.06399218007213009,3.9056235429309276,2.8582965016072457,0.9709516304985772,4.136399766188493,1.449980750998959,0.4361358299682019,0.7324648891816841,0.008890080442379038,0.801191789463377,1.0939602723346344
4,WT,335.1920482823899,0.01800893391910536,0.4180175567087753,1.7737265330536598,2.07745092782237,0.47217180380741386,0.09722139026176918,8.523085671244491,0.6895027603680397,2.9789810314790346,4.475342763668838,0.7487355803731438,0.34521173279911926,2.3980060842066417,0.02839529792387735,0.5307345127885423,2.0670647624189233
5,WT,348.72283954361734,0.019253749306571918,0.36042710297941527,2.677255510575022,1.957684903720389,2.1477243990493484,0.06649450323098838,0.07391691779571552,0.10823780977065733,4.031097063669608,4.977040619823567,0.7542825841587629,0.010494352095823875,0.22847556260510232,0.07268087194115747,0.169449059842389,1.280492341325801
6,WT,327.58034483778573,0.011328626635545007,0.42543120000086,4.816076987851223,1.0463882094858274,3.317594505564044,0.08936149697827885,8.390689992576648,0.03236583365148826,0.7530458586669655,5.335220724753108,0.008329799208648181,0.7202290496278256,0.25485858133782724,0.019045364518175657,1.0895930454127143,1.6500139925418882
7,WT,317.3546088977768,0.007878629001952098,0.49286039506717877,4.025666194405525,3.1695745525600074,3.3484767178562507,0.021972977512282534,3.1376621735016332,0.41167491480700047,1.2695851437711068,5.150633499760248,1.3253564273679808,0.8800266952433703,0.3479461823850909,0.015059759168313314,1.6169147550246494,0.29710026343483564
8,WT,322.5669769618835,0.02131354045730262,0.4213374137679382,2.8816242330107995,2.0867731621348167,2.5332888232294706,0.05061800028069631,1.9615298308371383,1.9229384665516147,3.671424052838929,5.971514655212719,0.8439751490466849,0.8415650072704975,2.912286803321728,0.015533182189696446,0.1521964311540263,1.4690261511881253
9,WT,271.5668931310529,0.017152414584592032,0.44748639843385035,5.250215582742475,1.019828006329233,2.50971643458017,0.07438143298117286,4.3689466133350265,1.7177069196957397,0.544644281967478,5.500127675103799,0.520233633030934,1.0317197394671374,0.649974437687132,0.032308314412981716,1.1057042795805105,0.7139804370992168
10,WT,313.2332036249399,0.020048201618631058,0.33449860843850887,3.064473077132774,2.091973592393089,1.534509483239943,0.04822197479156562,2.891823593418514,1.8213185759450736,1.6579490110158455,4.370770971648451,0.3855647061899167,0.8929974190244802,0.7685094913719728,0.012506266436425172,0.18801101263155062,1.5334420558323136
