run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
1,K27M,233.17395094583563,0.04336114748464069,2.538084024414233,6.3068119500310615,3.5119437781798877,4.850697996411384,0.08834671706804063,5.380134067849361,0.8121375315790219,0.9391428675947324,0.4659215118305454,3.136999235759663,0.8083998209399699,0.18505592921008998,0.06553797673879991,1.3333870597214301
2,K27M,184.740649823156,0.044073419953062236,5.0915202301041145,7.501798832028299,2.2685403940097224,2.604979885924913,0.025862943272167507,6.911487798094499,0.3880585695269629,5.009793207792715,0.7229476776300328,2.200047186546705,0.9112836031447626,0.030714371711001474,0.42254937193104974,1.2321519642753713
3,K27M,226.32546627461483,0.046740156740106904,3.874948947744863,6.382744937582118,3.179658980891406,3.822628271741535,0.0765021408734631,3.0525810958707185,0.6520686237030198,5.881204068228609,0.038067605179127106,1.993733862520552,2.3512831700906895,0.17451148909014597,0.2643277978669484,1.4715442775404546
4,K27M,177.4389047253241,0.04437418084281524,4.257017290936728,6.619047374322894,0.6594322083828487,2.7227057303223834,0.05965812973022408,6.958268311648665,0.4645762154632159,5.683794444317865,0.3782968491065053,0.792561591484873,0.49447603245283933,0.08456211220009037,0.4508531952464905,1.5954117051483594
5,K27M,178.43255787624798,0.043841188684456814,4.760543856302619,7.517674943382974,1.1671865586497294,2.5087094152916314,0.040103208022092975,5.521575402510881,0.4870462382754303,5.015700052444045,0.8997480029362448,1.470334712838693,1.3286688263993782,0.05804133853251814,0.19188909382451916,1.7137111060331942
6,K27M,177.28318940612556,0.044523133856439606,4.127702073867747,7.803877627345809,1.1287392861335195,2.93567956203792,0.09744010689299162,7.892872964221754,0.7803289361135191,4.284339079134725,0.13237767322580826,1.3954818477654234,1.3275137838214426,0.17511366932367042,0.17690613538651337,2.761642225490685
7,K27M,234.8500194383849,0.039668378953167306,4.855681574269868,7.301908325457946,1.3674103432385867,2.4110080529394984,0.03827085851631211,3.255406505782613,0.6148920479714304,3.8608304392442276,0.1824686928618311,3.687058428782674,1.3345887374597631,0.06661761127756446,0.20929772246204115,0.958148705615902
8,K27M,189.45355471302858,0.041208897895804904,5.127929458156947,7.998167622068714,1.9219605557403223,3.322370502052454,0.07939702834098206,7.280767820191278,0.6539068831094574,2.215946180322485,1.3046843447851362,2.071891887772837,1.1156942954152145,0.18027725627396177,0.10714296070459313,2.8046930652910853
9,K27M,224.88605232958673,0.0389093899470239,6.180804425261812,7.3680080366497736,1.292497288664742,2.7891890726378494,0.0386054034377281,5.78766835191442,0.9365941615459725,2.868568347475549,0.24781873740627824,1.2462196748301375,0.29434089718040024,0.18796561578895757,0.3475079868167973,2.346377902133561
10,K27M,177.58189364061155,0.044297284856793316,3.7338812463601845,7.964112121310399,1.2523218020896731,2.2763022263379233,0.047440385348408644,6.764795394680427,0.5036996482330101,3.2176593066723655,0.25329623898046527,1.66592851778751,0.5530666260991597,0.05981321326582862,0.3567762292609174,1.8465491798638876
11,K27M,177.05185725087907,0.04427736606673921,2.524849745373586,6.821077128094819,2.008581852778407,1.3525477334466007,0.07283364599716358,3.5711245676256076,0.23932223207737283,0.5248831026171519,0.17180414237681313,2.7025334128000416,0.6533832218466452,0.1150182580212449,0.1745975016096112,0.8480301665863216
12,K27M,178.02813547467844,0.04468781477753258,3.337806582572117,7.353514024933566,1.1939647716096664,2.850221474795772,0.0908734664071015,7.757703566349332,0.5728300990255442,2.004022275510899,0.08444611245404827,1.5833553914719438,1.3665294048773011,0.17628296196151472,0.40167641189603764,1.893113740854617
13,K27M,179.48880818151912,0.042564595752528654,4.463090587607412,7.810986899133342,0.9363660218051364,2.8116967884694675,0.07484395809646667,8.39573422914234,1.0111519131036946,3.4773568770866485,0.33464276975147494,1.5471776991494655,0.27751025340392305,0.125558311243537,0.09047824156214612,3.500958940079191
14,K27M,177.81503495933055,0.04374987100109736,3.7369003022100484,7.325325282194888,1.046435777272756,2.585653195312358,0.0496486221611985,7.93324047251414,0.6706308577094209,3.084661758858071,0.36326982410668623,1.335828980186319,0.28201573905197264,0.059549142438684526,0.2619619892245457,2.5432899234561583
15,K27M,232.02080514497112,0.04358401134766897,4.679507962907688,6.409736560168415,1.1336973706529507,5.528595681594247,0.016666385243240274,7.9548710982901945,0.9710063900794835,5.399372953794403,0.17878498771834894,0.6069036433522044,2.6351972309434926,0.048910377863622935,0.6830550504214881,1.639943762383262
16,K27M,177.57325200461247,0.04387790800317182,2.7366307993701158,6.682782045773767,1.0769299708898192,2.0718140745421914,0.06861192987264828,6.283195033478382,0.6279196076151602,0.6237745294251403,0.5061301519036152,1.3106867181550474,0.28771970437012223,0.1104774209874418,0.14916650473638754,2.170004358427139
17,K27M,205.07109548313258,0.039537350314944854,6.208090344663607,6.752350405806049,2.9188202183696155,4.11072316150492,0.06051100099051813,5.47036428476129,0.3587692994201432,4.463021686793804,0.5753503446403302,1.879265907466197,0.771541995119356,0.15673189171968793,0.4900642947146934,1.1073489291059597
18,K27M,195.46844263416236,0.044522915350319,4.546442404889649,7.9528908456544425,0.9873751016382171,1.7028571587303323,0.08919913719344376,7.591181728111119,0.4754484719743569,4.639873644462396,0.7728562803346863,2.8923980942301646,1.7945115103569464,0.18793552948591058,0.3207677391243242,1.4149047371739016
19,K27M,215.11660042568667,0.045410190888399767,4.320744092294467,7.750096833124145,2.510097503764086,2.1956839523429386,0.05637476725054185,7.039524108996682,0.403093305941179,2.6420732406721057,0.38353760324369857,2.94375750264963,3.441586028068174,0.10666538121231967,0.5636410440472484,1.335561603603594
