run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
1,WT,359.1752443615203,0.004562283935181084,0.37782383048572177,0.008029321687071418,0.4743205824395479,1.1046106245435556,0.6681664655950097,2.5339605738779767,0.09331650442502683,8.846608148205759,1.9888176864721656,0.2714383918966742,1.0596978975040041,1.3216041025957663,0.012247824152475387,2.0644373042746427,0.04416837810705386,0.6229348023566729,0.14144022443375365,0.027259886111915852,0.00043631857889074604
2,WT,339.65619014917786,0.0020037491493500354,0.16326995272636943,0.011655616957084445,0.45490492303071656,5.102296741778273,2.1690313406706663,2.854349920224353,0.08775109706464358,5.406938122538314,2.5457061580704465,0.18919889795274203,5.157291538112556,0.5337474713827093,2.3212841673018003,2.13969503754519,0.05670300577360926,0.008395949670603664,1.4719039268001854,0.014763669919438574,0.0011974985270699738
3,WT,426.0084890355709,0.00017772125809709756,0.14537044132424526,0.020168410654970742,0.43202594513564596,3.1908315133079057,2.2407397211706153,3.928596330622203,0.02867268011227858,7.382097261086494,1.5553428871142734,0.0026858267949023684,2.3993915483864297,1.4195670728204,2.446112089218003,0.822345194235746,0.030048229817018532,1.3260766682742924,0.1441518423927265,0.004610212194625123,0.0029601577351175933
4,WT,325.927856149783,0.003817188664039714,0.13914325833293917,0.01557652779906384,0.16558726565414006,4.747830930033518,2.021801382165869,3.357430980101508,0.048211046479734024,8.252011828145594,0.8212263351982739,0.2642464398164307,4.951466126599631,0.7066300468715211,1.5215429502964914,1.901614615531462,0.01964945186697143,0.26748802061693844,0.6815271231459922,0.009983196050417267,0.0034769699116060124
5,WT,385.38992582835095,0.0013160614209769832,0.11623199431887601,0.02214596355761134,0.24362332001283382,0.23529718339200092,0.7049178365243282,3.7993443085487812,0.17336088982752,1.2046353734131168,0.34365359594653655,0.8765837289244115,1.1154792137105636,0.47665195443431213,2.320270864845236,0.8118824186976074,0.09644275889778518,0.0023755239607293472,0.8889859615501087,0.0012623745210864948,0.002923965731498271
6,WT,378.23005722245523,0.0025282884497645785,0.48651501263562147,0.012166396035433045,0.13436111732777023,3.8839644745417976,3.0156490414420967,4.0732225680062175,0.01673270556178861,7.3821491008790945,1.9418912118931357,2.0483338318919087,5.589257785934707,0.40890735763763497,1.632413183276766,0.6515379735881062,0.0042630384659694265,0.635004534721019,0.4551267715204814,0.005078782226290794,0.007809037892528147
7,WT,361.0483886394427,0.007961960469825228,0.3032016520532147,0.010688509812661402,0.38815441882385204,4.583376685408581,2.0505263494319665,2.0779758306278966,0.059354755610286726,2.6424116926797114,1.3641057343840548,0.9123650989828299,5.340244304364651,1.4446487687328808,1.0325763819723197,3.0405801186226507,0.05219945451381848,0.1908479039042188,1.0198128996338176,0.005826594146710147,0.006488884426519862
8,WT,296.20106657582147,0.008733292201130193,0.4269353146897471,0.022084539942809893,0.29306585244322997,3.940069702483064,0.9054722077054314,2.0869259864654954,0.05699783538192037,2.5180552212828338,2.349837015770891,2.0479053073806512,5.588072856758906,0.397353007638334,0.030513218392991547,0.15506533808238393,0.004808682695560345,1.3096332719406547,0.5292322827849805,0.0007815608054210534,0.001682096079470215
9,WT,387.9974352163703,0.0013600049596885562,0.46482854884733726,0.017762298948471738,0.2584280576634529,2.5456560759497235,2.578131513245943,4.618183445793653,0.03854534653398434,7.939389962883107,1.1715770613218301,2.023475232392892,4.38503454988785,1.5679112907667572,2.572796199612554,2.342634006045203,0.018145484218431263,1.911227903416233,1.5548745795327839,0.008567003474969363,0.0011323433029104372
10,WT,360.76840507666475,0.004115455117481889,0.3306025383746819,0.008283180645362619,0.37032095355964045,3.2148986295567124,2.233618979027394,3.9860887811956864,0.10415652788950963,4.070062019270786,2.4252668097963115,2.1044030040450243,4.99435106361202,1.7680896674725268,0.9095210378038621,2.7362105698135526,0.04054531680372336,0.42749001769970274,0.8539603828050368,0.02672281460065439,0.004161190286210008
11,WT,383.5783023598684,0.006586700222157339,0.002247022694923495,0.013425766142145239,0.3640911286672613,5.159968091041664,0.4649496877959094,0.18317263455151078,0.06823524312469671,7.731937239304129,0.24069089384996278,0.7457127106972836,5.7569698271851655,1.4475628537536904,2.080014843581864,2.184037516341006,0.029643448938919945,1.1406183137237376,1.10804825393644,0.007029033695719049,0.0017973222619675877
12,WT,418.8945369732953,0.004215999169187522,0.43665794765015997,0.008739705522561642,0.2939004206890431,3.492171749281598,3.0912027451427275,4.399508153864396,0.16067838539986307,4.285836075607623,2.5015970027945267,2.694411874915148,5.671441900195796,0.1800678593138001,1.8133876906855464,3.7478786977016108,0.03396575696338923,1.6651479854319118,1.1802466031977672,0.012265660820980306,0.00584343137539813
