run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
1,WT,350.1035975017628,0.006428554550474305,0.1972136432417564,0.0008744472174500113,0.34381728347923346,5.437584862752445,1.7461647247105145,1.7145146218985747,0.013189412190201463,4.214987024569598,1.3369095519095884,5.155605573957513,0.9267438467283311,0.4014970356450972,1.8836394301175368,0.018163351654398835,0.844864554201741,0.40636148529935645,0.023524511567419172,0.004746704327119128
2,WT,253.31148032514184,0.0012913676327215755,0.37600264723433224,0.018035715250131923,0.3180281063742282,4.2845409719319125,0.25045432557175074,1.149076606582202,0.09345138494357072,3.0297160094373647,0.11801951332470476,4.0194473733029445,0.024251065205585776,0.040474815103545406,1.2881137463866539,0.035873015118464864,0.605756883511572,0.06869018029209265,0.007157437130189745,0.0033611591706063392
3,WT,254.33066667385103,0.0017715041732789438,0.382389518563195,0.015995943095217152,0.2528496879528801,5.35306892169175,0.7854502391857017,0.7015118064430654,0.07252553613140884,2.081658206113084,0.32592669640901273,5.087659774580196,0.10649430569452223,0.1311373845582048,0.31647314530329984,0.02540089199836557,0.24741142358872625,0.2253735488949045,0.009849612908176127,0.0038972895088230644
4,WT,409.6595235928422,0.007905117331449486,0.44069017204842753,0.004326762582042297,0.4869449239901147,1.3704729140856315,2.927148981353726,1.7620260509438488,0.08691821426541482,1.5886788722094103,1.0916083678770474,1.1079423425367612,0.15897484395931372,0.9133816375771836,0.400806126788138,0.0236797098144234,1.0203848390244996,1.825100871720736,0.02052995885865877,0.0020702609758946593
5,WT,273.02883872563314,0.003959639255003527,0.3083486780423117,0.015633667526068405,0.3482058749798299,6.246195029650014,1.2826786118662743,2.394387626940741,0.0041641696039258335,4.698735482478723,1.3684472339546785,5.910661551082762,0.36929725495466686,0.12334610285736228,1.3876894075795092,0.003260644972214041,0.030372286793377445,0.5925962378600732,0.012456563223224474,0.0015384072247640376
6,WT,255.91022160050943,0.004071785962340722,0.16077072849943538,0.008749246073705502,0.2285968484554223,5.344523811684141,0.23241436849321426,1.7008508658684296,0.042760487224867694,3.446302989507127,0.8664121266893406,5.190385527835616,0.10883377926358165,0.030604241566420887,1.9421990207160056,0.01126035939054415,0.12311229028288424,0.6152817102090177,0.023207304671534125,0.000894184407757184
7,WT,263.3212575774183,0.0014977673733401415,0.31976865141478295,0.012212314958274828,0.34998612167223486,5.794445741898106,0.4506956185683715,1.8003763215041255,0.04099399955893555,6.436878434344378,0.7222356961745697,5.527470620552298,0.0012891412139537017,0.06669616142237622,0.508947359582225,0.019941652118591176,1.374793424110455,0.417041936547738,0.013361467220590048,0.0028323686456301587
8,WT,253.43392073375009,0.0005220147294310257,0.3511217473217612,0.017035852957409975,0.40395335376265723,6.0742053001636,0.43468649346070676,2.1969555464683808,0.08306003294378843,4.7462464198189025,0.8423931879630838,5.778830475720309,0.07901634401749247,0.05149972443827046,1.189606966719787,0.026914085652476945,0.4700795473857344,0.6215690117250873,0.008413561450749016,0.003616061376326828
9,WT,414.958546655398,0.015383186331475389,0.1928114556147884,0.004381051766160686,0.42759423279672226,6.233078864928007,3.8976124615943064,2.4414005988549823,0.07864906072293867,5.243242707739865,2.768452901614352,5.844364211930211,0.1254511793656774,0.5082300982821166,0.8756670509417819,0.0306585287854979,0.23953834608430657,1.2889124569245678,0.009312536046894263,0.0005202033216075812
10,WT,269.8511681430404,0.004315153561305715,0.1531173789705983,0.009748326836899345,0.22197954526343433,4.53932098699112,0.6393271540398886,1.6499217591724757,0.08144962433126292,4.407549313138127,1.7249183218578121,4.488321745963883,0.015704088999523302,0.08765091496211616,0.2692910642954629,0.047397142499519665,0.05603155055621227,0.6375359439009789,0.011333111305514842,0.001432792022562216
