run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
1,WT,336.7050580299742,0.010913570440500491,6.974085557409089,0.005778716945386249,7.163034155906995,5.991411407553673,0.0014729199584593289,3.460302680221261,0.1040885601771509,7.350496186283809,1.6368114939948148,0.9929541790813052,0.1849502453802665,0.4256280632118765,2.419650137332325,0.03333491040248575,1.3089906495399237,1.8649657352714795,0.01649500738477299,0.0004807133940567896
2,WT,293.65465918651415,0.004031699560587888,6.739370044549139,0.019592463604663397,7.14115734284922,6.413084486423047,3.45193080730747,4.317984673695628,0.16102639163582,4.732257766909269,1.821541050569739,0.9303456209926285,0.3057896064687705,0.21743595559747975,0.07741892654748289,0.05458225624690364,1.0302391569925384,0.8789819089269693,0.005459817845023457,0.0012840414829725269
3,WT,345.02639170771107,0.004901955069209017,6.76456867627872,0.019289317782382125,6.557778354776323,7.663769356000611,3.543313464376504,3.656353012640826,0.10111237172692294,7.075151742511974,0.9645279027510869,0.19539534265878644,1.6094575632891353,0.49737311991710764,3.410544318885422,0.01501027690888003,0.8683092666386512,0.4062995905766429,0.004168888605062952,0.00708057486238876
4,WT,298.6232432445593,0.0004631979722381131,4.53684330196279,0.007129122657521358,7.787914676171762,6.214391312566607,0.8504821916671612,1.5150226459762146,0.1775688331644948,8.121678931621556,0.503720308286715,2.210265839910808,0.3236364855467414,0.366364762200701,0.0974387726096285,0.049596983509456995,0.3926021219918015,0.9094768844696195,0.03511703057382782,0.003046437650505695
5,WT,265.67468905555165,0.0001678437340057159,1.422206006430851,0.019915831671487316,7.818430385280987,7.93430038349006,0.46429545730664973,2.1464645460984917,0.1639842354505329,4.0824371638760235,0.3865861473978238,0.6377250542447013,0.26106108241436854,0.05355732324838393,2.1772662444318245,0.0654008815326564,0.9667550840758945,0.337462346257289,0.009966943608669081,0.004650718017416329
6,WT,255.8126606244199,0.0037155079287982742,7.518393800279931,0.013882134249475153,6.963137139942714,7.918747024081813,0.4148429401505107,2.606945715280845,0.09828345020486444,9.03306897238014,1.6253653171457727,0.024140396956851717,0.23362050822359842,0.055274837010342234,0.012985149627435957,0.03676462966305971,0.4810237886927187,1.1007685556842703,0.014859583346937998,0.0028668116736336596
7,WT,274.85071196747174,0.0035989922341608965,6.947149353189583,0.018431228189487177,6.385314651785062,7.17432540323769,1.8937476719587305,0.9343312316101068,0.1987791954538335,3.9962124071648315,0.8389007026632356,0.30615536926871345,0.11571070638107576,0.30612236847223495,1.555334921178367,0.09620604535863608,0.03129336540579564,0.5108414623577828,0.008163643454032947,0.0045152313160324396
8,WT,274.7599322439212,0.006466097018020234,5.0173585552125495,0.012585725335380379,6.578382435744007,6.0153841845488305,0.7300685984945442,1.4095916773564396,0.13814666033740572,3.003366080680326,0.8742203694690535,0.9736062950475769,1.022877297950598,0.13179613651219932,0.3885533505584222,0.041943093481905155,0.5772979061008491,0.4039114189294416,0.025741022597405683,0.0002859153351192843
9,WT,254.98534010118178,0.0009685816995454907,6.724370271416337,0.012491088977924726,7.7547268525872335,6.652659201217939,0.41150021381560203,1.9741152460690057,0.17005650728159472,3.290130236384088,0.6015554541332342,0.943698874866114,0.32865410875224943,0.06064751178167646,3.507121272424777,0.07535304108048914,0.2289732043578277,0.41080612356497703,0.020484434739180626,0.002697394717184199
10,WT,267.49180289657636,0.0010992098355855939,6.4628504182423505,0.010995447622406621,6.109187924760725,6.507210225039586,0.30926746443383596,1.6259216872201814,0.19639421807252,6.697145181588068,1.3462990298854827,0.025948987058387142,0.12236992297965546,0.06680339905551587,0.39901552124574174,0.08701743222348038,0.6786200930787771,1.7265511445058999,0.02162149489118578,0.0035675601354894556
